,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
3891,375 Fillmore Street,"Denver, CO 80206","Jan 29, 2021","$1,695,000","$1,630,000",Multifamily,1992,3141,,,Cherry Creek North,Cherry Creek North,"$5,351",Denver 1,2,2,"Full, Finished, Interior Entry",,Conventional
3892,16371 Jones Mountain Way,"Broomfield, CO 80023","Nov 04, 2020","$1,629,000","$1,630,000",Single Family Residential,2018,5243,5,5,Anthem,Anthem,"$8,937",Adams 12 5 Star Schl,4,4,"Full, Finished, Sump Pump, Walk-Out Access",$145,Conventional
3893,2026 Ash Street,"Denver, CO 80207","Jul 31, 2020","$1,695,000","$1,630,000",Single Family Residential,1953,3442,5,4,Park Hill,Park Hill,"$5,973",Denver 1,2,2,,,Cash
3894,5906 Windemere Road,"Loveland, CO 80537","Jul 16, 2020","$1,700,000","$1,630,000",Single Family Residential,1997,5269,5,5,N/A,N/A,"$6,993",Thompson R2-J,,,"Finished, Walk-Out Access",,Other
3895,70 Royal Ann Drive,"Greenwood Village, CO 80111","Jul 21, 2020","$1,650,000","$1,630,000",Single Family Residential,2007,5613,4,5,One Cherry Lane,One Cherry Lane,"$9,898",Cherry Creek 5,3,3,"Full, Finished","$2,150",Cash
3896,31 Brookhaven Lane,"Littleton, CO 80123","Sep 30, 2020","$1,795,000","$1,630,000",Single Family Residential,2005,7552,4,6,Columbine Valley,Columbine Valley,"$12,328",Littleton 6,4,4,"Full, Finished, Interior Entry, Bath/Stubbed",$800,Conventional
3897,101 Braddock Drive,"Breckenridge, CO 80424","Jun 30, 2020","$1,685,000","$1,630,000",Single Family Residential,2019,3254,4,4,Ten Mile Vista,Ten Mile Vista,"$3,795",Summit RE-1,2,2,,,Other
3898,30402 Heavenly Court,"Evergreen, CO 80439","Jul 11, 2018","$1,650,000","$1,630,000",Single Family Residential,1989,7123,5,6,The Ridge At Hiwan,The Ridge At Hiwan,"$7,894",Jefferson County R-1,3,3,"Exterior Entry, Finished, Partial, Walk-Out Access, Heated",$250,Conventional
3899,38 Martin Lane,"Englewood, CO 80113","Apr 01, 2019","$1,675,000","$1,630,000",Single Family Residential,1954,4529,5,4,Cherry Hills Village,Cherry Hills Village,"$9,419",Cherry Creek 5,3,3,None,,Cash
3900,876 Diamond Ridge Circle,"Castle Rock, CO 80108","May 31, 2019","$1,699,000","$1,630,000",Single Family Residential,2000,7016,5,6,Diamond Ridge Estates,Diamond Ridge Estates,"$6,812",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access, Heated",$345,Cash
3901,536 S Vine Street,"Denver, CO 80209","Apr 12, 2019","$1,675,000","$1,630,000",Single Family Residential,2017,3760,5,5,Washington Park,Washington Park,"$6,200",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
3902,5178 S Elk Ridge Road,"Evergreen, CO 80439","Feb 01, 2019","$1,675,000","$1,630,000",Single Family Residential,1979,5714,5,5,Hangen Ranch,Hangen Ranch,"$5,250",Jefferson County R-1,6,6,"Exterior Entry, Full, Finished, Walk-Out Access",,Conventional
3903,5700 Amber Ridge Drive,"Castle Pines, CO 80108","Oct 15, 2018","$1,690,000","$1,630,000",Single Family Residential,2007,8085,6,6,Castle Pines,Castle Pines,"$11,824",Douglas RE-1,3,3,"Full, Finished, Heated",$40,Conventional
3904,1916 23rd Street Unit 6,"Boulder, CO 80302","Jan 23, 2020","$1,625,000","$1,629,650",Multifamily,2019,1961,,,The Mark On Pearl,The Mark On Pearl,,Boulder Valley RE 2,1,1,None,$500,"Cash, Conventional"
3905,9382 Vista Hill Way,"Lone Tree, CO 80124","May 12, 2020","$1,629,172","$1,629,172",Single Family Residential,2020,5984,4,5,Heritage Hills,Heritage Hills,"$6,289",Douglas RE-1,3,3,Full,$150,"Cash, Conventional"
3906,345 Eudora Street,"Denver, CO 80220","Apr 26, 2019","$1,750,000","$1,629,000",Single Family Residential,2005,5096,6,6,Hilltop,Hilltop,"$8,424",Denver 1,2,2,"Full, Finished, Sump Pump, Heated",,Conventional
3907,383 W Spruce Lane,"Louisville, CO 80027","Jan 06, 2021","$1,500,000","$1,628,000",Single Family Residential,1993,3782,5,4,Bridgefield,Bridgefield,"$7,735",Boulder Valley RE 2,3,3,Full,,
3908,5775 Regal Oak Lane,"Parker, CO 80134","Aug 31, 2018","$1,627,518","$1,627,518",Single Family Residential,2018,5400,4,4,Timbers At The Pinery,Timbers At The Pinery,"$3,608",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access",$300,Conventional
3909,225 Valverdant Court,"Steamboat Springs, CO 80487","Jun 21, 2018","$1,648,000","$1,627,140",Single Family Residential,1999,4352,4,4,Fish Creek Area,Fish Creek Area,"$6,453",Steamboat Springs RE-2,,,Partial,,Conventional
3910,386 Grape Street,"Denver, CO 80220","Oct 19, 2018","$1,650,000","$1,627,000",Single Family Residential,2004,5090,5,6,Hilltop,Hilltop,"$8,575",Denver 1,2,2,"Full, Finished, Interior Entry",,Conventional
3911,3780 Ranch Hand Lane,"Castle Rock, CO 80104","Jun 04, 2018","$1,676,000","$1,627,000",Single Family Residential,2018,5576,4,5,Sellers Creek Ranch,Sellers Creek Ranch,"$3,614",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access",$130,Cash
3912,1735 Central Street Unit 504,"Denver, CO 80211","May 08, 2020","$1,599,900","$1,626,074",Condo,2020,2242,2,2,Lower Highlands,Lower Highlands,"$3,756",Denver 1,2,2,,$852,"Cash, Conventional"
3913,321 Carriage Hills Drive,"Boulder, CO 80302","Jul 17, 2020","$1,690,000","$1,625,000",Single Family Residential,1964,4658,4,5,Carriage Hills Estates,Carriage Hills Estates,"$9,945",Boulder Valley RE 2,4,4,"Full, Walk-Out Access",,"Cash, Conventional"
3914,395 Terrace Avenue,"Boulder, CO 80304","Jun 30, 2020","$1,675,000","$1,625,000",Single Family Residential,2007,4572,6,5,Dakota Ridge,Dakota Ridge,"$7,941",Boulder Valley RE 2,2,2,Full,$49,"Cash, Conventional"
3915,5779 Pelican Shores Drive,"Longmont, CO 80504","Jun 15, 2020","$1,650,000","$1,625,000",Single Family Residential,2013,5103,4,5,Pelican Shores,Pelican Shores,"$7,010",St. Vrain Valley RE-1J,3,3,"Full, Walk-Out Access",$500,"Cash, Conventional"
3916,1192 Michener Way,"Highlands Ranch, CO 80126","Apr 19, 2021","$1,600,000","$1,625,000",Single Family Residential,2000,6506,6,5,Highwoods,Highwoods,"$8,578",Douglas RE-1,3,3,"Full, Finished, Interior Entry, Partial, Bath/Stubbed",$155,Conventional
3917,1744 S Pennsylvania Street,"Denver, CO 80210","Mar 01, 2021","$1,550,000","$1,625,000",Single Family Residential,2017,3840,5,4,Platte Park,Platte Park,"$6,368",Denver 1,2,2,Full,,Cash
3918,1150 W Coach Road,"Boulder, CO 80302","Oct 09, 2019","$1,691,000","$1,625,000",Single Family Residential,1993,6082,4,5,Carriage Hills Estates,Carriage Hills Estates,,Boulder Valley RE 2,5,5,None,"$2,200","Cash, Conventional, Item1031Exchange"
3919,18573 Us Highway 160,"Del Norte, CO 81132","Sep 04, 2019","$1,950,000","$1,625,000",Single Family Residential,2000,2670,4,3,,,"$2,259",Del Norte C-7,3,3,None,,
3920,3681 Paonia Street,"Boulder, CO 80301","Feb 22, 2019","$1,625,000","$1,625,000",Single Family Residential,2018,4632,4,4,Kalmia Estates,Kalmia Estates,"$7,940",Boulder Valley RE 2,2,2,"Full, Bath/Stubbed, Unfinished",$55,"Cash, Conventional"
3921,1785 View Point Road,"Boulder, CO 80305","Apr 08, 2019","$1,500,000","$1,625,000",Single Family Residential,1968,4312,6,3,Devils Thumb,Devils Thumb,"$6,004",Boulder Valley RE 2,2,2,None,$90,"Cash, Conventional"
3922,1302 Baseline Road,"Boulder, CO 80302","Mar 19, 2020","$1,799,000","$1,625,000",Single Family Residential,1936,3822,4,4,Wellington Heights,Wellington Heights,"$7,628",Boulder Valley RE 2,2,2,Walk-Out Access,,
3923,1122 Barberry Court,"Boulder, CO 80305","Dec 30, 2019","$1,650,000","$1,625,000",Single Family Residential,1985,4028,4,4,Devil's Thumb,Devil's Thumb,"$6,513",Boulder Valley RE 2,2,2,Crawl Space,$97,
3924,1115 Pennsylvania Avenue,"Boulder, CO 80302","Jan 10, 2019","$1,645,000","$1,625,000",Multifamily,1919,2704,,,Capitol Hill,Capitol Hill,"$7,093",Boulder Valley RE 2,,,,,"Cash, Conventional"
3925,3828 Bidens Gate Drive,"Timnath, CO 80547","Nov 20, 2020","$1,625,000","$1,625,000",Single Family Residential,2008,5672,5,6,Harmony,Harmony,"$10,600",Poudre R-1,3,3,"Daylight, Full",$215,
3926,6331 Snowberry Lane,"Niwot, CO 80503","Jan 31, 2019","$1,450,000","$1,625,000",Single Family Residential,1998,10857,7,9,Somerset Estates,Somerset Estates,,St. Vrain Valley RE-1J,5,5,"Daylight, Walk-Out Access",$325,"Cash, Conventional"
3927,851 Panorama Circle,"Estes Park, CO 80517","Jan 03, 2020","$1,800,000","$1,625,000",Single Family Residential,1957,7096,6,6,Stanley Heights B,Stanley Heights B,"$6,486",Estes Park R-3,2,2,,,"Cash, Conventional, Item1031Exchange"
3928,790 S Gaylord Street,"Denver, CO 80209","Feb 04, 2021","$1,550,000","$1,625,000",Single Family Residential,1929,4228,6,5,Washington Park,Washington Park,"$8,341",Denver 1,3,3,Full,,Cash
3929,215 S Ivy Street,"Denver, CO 80224","Feb 17, 2021","$1,550,000","$1,625,000",Single Family Residential,1958,4450,4,5,Crestmoor,Crestmoor,"$8,094",Denver 1,2,2,"Full, Finished, Interior Entry",,Conventional
3930,460 Lo Meadow Lane,"Bailey, CO 80421","Jan 27, 2021","$1,825,000","$1,625,000",Single Family Residential,2018,4382,4,3,N/A,N/A,"$10,031",Platte Canyon RE-1,5,5,"Crawl Space, Daylight, Exterior Entry, Finished, Walk-Out Access",,Cash
3931,5151 Olive Court,"Greenwood Village, CO 80121","Jan 11, 2021","$1,699,000","$1,625,000",Single Family Residential,1993,7518,6,7,The Preserve At Greenwood Village,The Preserve At Greenwood Village,"$14,234",Littleton 6,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$600,Cash
3932,1551 S Clarkson Street,"Denver, CO 80210","Jun 15, 2020","$1,625,000","$1,625,000",Single Family Residential,2020,3695,4,4,Platt Park,Platt Park,"$1,902",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Conventional
3933,1170 S Monroe Street,"Denver, CO 80210","Jun 01, 2020","$1,650,000","$1,625,000",Single Family Residential,2017,4798,5,5,Cory-Merrill,Cory-Merrill,"$7,374",Denver 1,3,3,"Full, Sump Pump",,Conventional
3934,282 Maryland Creek Road,"Silverthorne, CO 80498","Aug 28, 2020","$1,699,000","$1,625,000",Single Family Residential,2016,4116,4,5,Summit Sky Ranch,Summit Sky Ranch,"$9,133",Summit RE-1,2,2,Walk-Out Access,$349,Conventional
3935,43605 County Road 129,"Steamboat Springs, CO 80487","Feb 28, 2020","$1,795,000","$1,625,000",Single Family Residential,1996,3383,3,3,Steamboat Springs,Steamboat Springs,"$3,516",Steamboat Springs RE-2,3,3,,,Cash
3936,1302 Baseline Road,"Boulder, CO 80302","Mar 19, 2020","$1,799,000","$1,625,000",Single Family Residential,1936,3132,4,4,Wellington Heights,Wellington Heights,"$7,628",Boulder Valley RE 2,2,2,"Full, Finished, Walk-Out Access",,Conventional
3937,2075 Homestead Court,"Steamboat Springs, CO 80487","May 18, 2020","$1,649,000","$1,625,000",Single Family Residential,2003,4404,5,5,Running Bear,Running Bear,"$4,847",Steamboat Springs RE-2,3,3,"Finished, Partial, Walk-Out Access",,Conventional
3938,4600 Wildgrass Place,"Parker, CO 80134","Jan 24, 2020","$1,749,000","$1,625,000",Single Family Residential,2017,6381,6,7,Pradera,Pradera,"$3,383",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access, Heated, Sump Pump",$218,Conventional
3939,684 S Vine Street,"Denver, CO 80209","May 23, 2018","$1,690,000","$1,625,000",Single Family Residential,2018,4074,5,5,Washington Park,Washington Park,"$2,469",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
3940,6331 Snowberry Lane,"Niwot, CO 80503","Jan 31, 2019","$1,450,000","$1,625,000",Single Family Residential,1998,10857,7,9,Somerset Estates,Somerset Estates,"$13,091",St. Vrain Valley RE-1J,5,5,"Full, Finished, Walk-Out Access",$325,Conventional
3941,154 S Grape Street,"Denver, CO 80246","Aug 08, 2018","$1,650,000","$1,625,000",Single Family Residential,2010,6135,6,7,Hill Top,Hill Top,"$8,307",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Conventional
3942,165 Roland Drive,"Bailey, CO 80421","Nov 21, 2018","$2,250,000","$1,625,000",Single Family Residential,2003,8692,7,5,Bailey,Bailey,"$8,038",Platte Canyon RE-1,4,4,"Crawl Space, Partial",,Cash
3943,5779 Pelican Shores Drive,"Longmont, CO 80504","Jun 15, 2020","$1,650,000","$1,625,000",Single Family Residential,2013,5103,3,5,Pelican Shores,Pelican Shores,"$7,010",St. Vrain Valley RE-1J,3,3,"Full, Finished, Walk-Out Access",$500,Cash
3944,5450 S Niagara Court,"Greenwood Village, CO 80111","Jul 12, 2019","$1,649,000","$1,625,000",Single Family Residential,1982,5183,5,5,Greenwood Village,Greenwood Village,"$9,173",Cherry Creek 5,3,3,"Finished, Interior Entry, Partial",,Conventional
3945,10164 Crooked Stick Trail,"Lone Tree, CO 80124","May 07, 2019","$1,650,000","$1,625,000",Single Family Residential,2007,6436,6,6,Heritage Estates,Heritage Estates,"$9,219",Douglas RE-1,4,4,"Daylight, Full, Finished",$675,Conventional
3946,863 S Race Street,"Denver, CO 80209","Jan 08, 2020","$1,749,900","$1,625,000",Single Family Residential,1925,3929,4,5,East Wash Park,East Wash Park,"$3,703",Denver 1,,,"Full, Finished, Interior Entry",,Conventional
3947,1122 Barberry Court,"Boulder, CO 80305","Dec 30, 2019","$1,650,000","$1,625,000",Single Family Residential,1985,4028,4,4,Devils Thumb,Devils Thumb,"$6,513",Boulder Valley RE 2,2,2,None,$97,Conventional
3948,858 S York Street,"Denver, CO 80209","Dec 18, 2019","$1,695,000","$1,625,000",Single Family Residential,2007,4440,4,5,Washington Park,Washington Park,"$8,037",Denver 1,3,3,"Full, Finished, Interior Entry",,Conventional
3949,18573 Us Highway 160,"Del Norte, CO 81132","Sep 04, 2019","$1,750,000","$1,625,000",Single Family Residential,2000,2670,4,3,Payne Estate,Payne Estate,"$2,278",Del Norte C-7,3,3,None,,Cash
3950,1133 14th Street Unit 2020,"Denver, CO 80202","Aug 26, 2019","$1,850,000","$1,625,000",Condo,2010,2384,2,3,Downtown Denver,Downtown Denver,"$10,569",Denver 1,2,2,None,"$2,146",Cash
3951,225 S High Street,"Denver, CO 80209","Jun 28, 2019","$1,695,000","$1,625,000",Single Family Residential,1983,4285,4,4,Washington Park,Washington Park,"$6,970",Denver 1,2,2,"Finished, Partial",,Cash
3952,5840 Amber Ridge Drive,"Castle Pines, CO 80108","May 24, 2019","$1,699,000","$1,625,000",Single Family Residential,2009,7906,7,7,Castle Pines,Castle Pines,"$9,516",Douglas RE-1,3,3,"Full, Finished, Interior Entry, Heated, Sump Pump",$40,Conventional
3953,5156 E Otero Circle,"Centennial, CO 80122","Jun 03, 2019","$1,625,000","$1,625,000",Single Family Residential,1992,6468,4,5,Heritage Greens,Heritage Greens,"$9,121",Littleton 6,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$494,Conventional
3954,181 Shores Lane,"Breckenridge, CO 80424","Apr 29, 2019","$1,650,000","$1,625,000",Multifamily,2016,2570,,,Breckenridge,Breckenridge,"$4,908",Summit RE-1,2,2,None,$205,Conventional
3955,1785 View Point Road,"Boulder, CO 80305","Apr 08, 2019","$1,500,000","$1,625,000",Single Family Residential,1968,4312,6,3,Boulder,Boulder,"$6,004",Boulder Valley RE 2,2,2,None,$90,Cash
3956,3681 Paonia Street,"Boulder, CO 80301","Feb 22, 2019","$1,625,000","$1,625,000",Single Family Residential,2018,4632,4,4,Kalmia Estates,Kalmia Estates,"$7,940",Boulder Valley RE 2,2,2,"Full, Interior Entry, Bath/Stubbed, Unfinished",$55,Conventional
3957,5406 S Fulton Court,"Greenwood Village, CO 80111","Dec 12, 2018","$1,650,000","$1,625,000",Single Family Residential,1987,6156,5,5,The Orchard,The Orchard,"$7,563",Cherry Creek 5,3,3,"Full, Finished, Interior Entry",,Conventional
3958,1947 & 1821 Elk View Road,"Larkspur, CO 80118","Nov 28, 2018","$1,800,000","$1,625,000",Single Family Residential,1994,5654,4,4,Elk View Estates,Elk View Estates,"$3,232",Douglas RE-1,5,5,"Exterior Entry, Full, Unfinished, Walk-Out Access",,Cash
3959,665 Creel Lane,"Steamboat Springs, CO 80487","Dec 17, 2018","$1,650,000","$1,625,000",Single Family Residential,2002,3183,3,4,Anglers Retreat,Anglers Retreat,"$5,672",Steamboat Springs RE-2,2,2,None,"$3,201",Cash
3960,1365 S Saint Paul Street,"Denver, CO 80210","Jul 11, 2018","$1,599,000","$1,625,000",Single Family Residential,2011,4820,4,5,Cory Merrill,Cory Merrill,"$7,856",Denver 1,2,2,"Finished, Interior Entry, Partial, Heated, Sump Pump",,Conventional
3961,1064 Diamond Ridge Circle,"Castle Rock, CO 80108","Dec 11, 2020","$1,590,000","$1,623,000",Single Family Residential,1998,6260,5,5,Diamond Ridge Estates,Diamond Ridge Estates,"$5,662",Douglas RE-1,3,3,"Partial, Sump Pump",$365,Cash
3962,5964 E Princeton Circle,"Cherry Hills Village, CO 80111","Aug 31, 2018","$1,650,000","$1,622,000",Single Family Residential,1983,4811,5,4,Cherry Hills Village,Cherry Hills Village,"$9,451",Cherry Creek 5,3,3,"Finished, Partial",$100,Conventional
3963,774 Capilano Court,"Castle Rock, CO 80108","Jul 10, 2019","$1,699,000","$1,622,000",Single Family Residential,2001,6735,4,7,Castle Pines Village,Castle Pines Village,"$12,600",Douglas RE-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$275,Conventional
3964,1124 S Saint Paul Street,"Denver, CO 80210","Oct 26, 2020","$1,649,000","$1,621,000",Single Family Residential,2013,5144,4,5,Cory-Merrill,Cory-Merrill,"$7,734",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Conventional
3965,2496 S Monroe Street,"Denver, CO 80210","Feb 25, 2020","$1,697,000","$1,621,000",Single Family Residential,2019,5041,6,6,Observatory Park,Observatory Park,"$2,186",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
3966,2043 Mammoth Court,"Evergreen, CO 80439","Mar 19, 2021","$1,620,000","$1,620,000",Single Family Residential,1988,6459,7,5,Ridge At Hiwan,Ridge At Hiwan,"$7,477",Jefferson County R-1,3,3,"Daylight, Exterior Entry, Full, Finished, Bath/Stubbed, Walk-Out Access",$265,Cash
3967,1844 Seadrift Court,"Windsor, CO 80550","Feb 28, 2020","$1,720,000","$1,620,000",Single Family Residential,2005,7114,6,4,Water Valley South,Water Valley South,"$8,455",Windsor RE-4,3,3,"Daylight, Full, Walk-Out Access",$140,
3968,1250 Norwood Avenue,"Boulder, CO 80304","Aug 07, 2020","$1,620,000","$1,620,000",Single Family Residential,1987,3095,4,4,Deer Ridge Park,Deer Ridge Park,"$5,370",Boulder Valley RE 2,2,2,"Daylight, Full",,
3969,7000 Sunshine Canyon Drive,"Boulder, CO 80302","May 14, 2018","$1,595,000","$1,620,000",Single Family Residential,1995,5102,4,5,Sunshine Canyon Area,Sunshine Canyon Area,"$8,917",Boulder Valley RE 2,3,3,"Partial, Walk-Out Access",$100,"Cash, Conventional"
3970,3320 S Bellaire Street,"Denver, CO 80222","Mar 01, 2021","$1,495,000","$1,620,000",Single Family Residential,2007,6694,5,7,University Hills,University Hills,"$5,939",Denver 1,3,3,"Full, Finished",,Conventional
3971,1133 14th Street Unit 2710,"Denver, CO 80202","Dec 04, 2020","$1,699,000","$1,620,000",Condo,2008,1805,2,3,Four Seasons,Four Seasons,"$7,933",Denver 1,2,2,,"$5,236",Cash
3972,54 Torrey Lane,"Dillon, CO 80435","Sep 03, 2020","$1,690,000","$1,620,000",Single Family Residential,1999,5092,4,5,Summerwood,Summerwood,"$5,199",Summit RE-1,2,2,"Finished, Walk-Out Access",$350,Cash
3973,1844 Seadrift Court,"Windsor, CO 80550","Feb 28, 2020","$1,720,000","$1,620,000",Single Family Residential,2005,7114,5,4,Water Valley South Sub,Water Valley South Sub,"$8,455",Windsor RE-4,3,3,"Full, Finished, Walk-Out Access, Heated",$140,Conventional
3974,820 Twilight Lane,"Steamboat Springs, CO 80487","Nov 15, 2019","$1,635,000","$1,620,000",Single Family Residential,2017,3312,4,4,Steamboat Barn Village,Steamboat Barn Village,"$4,050",Steamboat Springs RE-2,2,2,"Crawl Space, Interior Entry, Partial, Unfinished, Heated, Sump Pump",$600,Cash
3975,7000 Sunshine Canyon Drive,"Boulder, CO 80302","May 14, 2018","$1,595,000","$1,620,000",Single Family Residential,1995,5102,4,5,Sunshine Canyon Area,Sunshine Canyon Area,"$8,917",Boulder Valley RE 2,3,3,"Exterior Entry, Partial, Walk-Out Access",$160,Cash
3976,1259 Baldy Road,"Breckenridge, CO 80424","Jan 06, 2020","$1,600,000","$1,618,750",Single Family Residential,2019,2946,4,4,Summit County,Summit County,"$3,093",Summit RE-1,2,2,None,,Conventional
3977,1453 Race Street,"Denver, CO 80206","Aug 19, 2019","$1,650,000","$1,618,700",Multifamily,1904,7748,,,Cheesman Park,Cheesman Park,"$6,254",Denver 1,,,Full,,Cash
3978,208 Maryland Creek Trail,"Silverthorne, CO 80498","Sep 26, 2020","$1,495,000","$1,617,150",Single Family Residential,2020,2855,4,4,Silverthorne,Silverthorne,,Summit RE-1,2,2,None,$349,Other
3979,4009 Nevis Street,"Boulder, CO 80301","Nov 04, 2020","$1,699,950","$1,615,000",Single Family Residential,1999,5581,5,5,Four Mile Creek,Four Mile Creek,"$8,168",Boulder Valley RE 2,3,3,"Daylight, Full, Walk-Out Access",$100,
3980,8420 Summerlin Drive,"Longmont, CO 80503","Feb 15, 2019","$1,615,000","$1,615,000",Single Family Residential,2016,4346,5,4,Summerlin Estates,Summerlin Estates,"$8,577",St. Vrain Valley RE-1J,3,3,Partial,$100,
3981,24678 Foothills Drive,"Golden, CO 80401","Feb 08, 2021","$1,600,000","$1,615,000",Single Family Residential,1986,5505,4,5,Genesee,Genesee,"$6,020",Jefferson County R-1,3,3,Unfinished,$615,Cash
3982,4009 Nevis Street,"Boulder, CO 80301","Nov 04, 2020","$1,699,950","$1,615,000",Single Family Residential,1999,5581,5,5,Four Mile Creek,Four Mile Creek,"$8,168",Boulder Valley RE 2,3,3,"Full, Finished, Walk-Out Access",$100,Conventional
3983,455 Kearney Street,"Denver, CO 80220","Jul 21, 2020","$1,639,000","$1,615,000",Single Family Residential,1952,4971,5,5,Crestmoor Park,Crestmoor Park,"$4,850",Denver 1,3,3,Partial,$125,Other
3984,1681 S Monroe Street,"Denver, CO 80210","Jun 17, 2020","$1,699,900","$1,615,000",Single Family Residential,2013,5434,6,7,Cory-Merrill,Cory-Merrill,"$8,064",Denver 1,3,3,"Full, Finished",,Conventional
3985,1038 Country Club Estates Drive,"Castle Rock, CO 80108","Oct 31, 2019","$1,695,000","$1,615,000",Single Family Residential,1999,5784,5,5,Castle Pines Village,Castle Pines Village,"$15,200",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Heated",$275,Conventional
3986,333 S Monroe Street Unit 605,"Denver, CO 80209","Jun 03, 2019","$1,700,000","$1,615,000",Condo,2006,2850,2,3,Cherry Creek,Cherry Creek,"$10,505",Denver 1,3,3,None,"$1,729",Cash
3987,10710 Flowerburst Court,"Highlands Ranch, CO 80126","Apr 19, 2019","$1,500,000","$1,615,000",Single Family Residential,2014,5508,5,5,Backcountry,Backcountry,"$5,819",Douglas RE-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$148,Cash
3988,8420 Summerlin Drive,"Longmont, CO 80503","Feb 15, 2019","$1,615,000","$1,615,000",Single Family Residential,2016,4346,5,4,Summerlin Estates,Summerlin Estates,"$8,577",St. Vrain Valley RE-1J,3,3,"Daylight, Finished, Partial",$100,Conventional
3989,8774 Crooked Stick Court,"Lone Tree, CO 80124","Dec 14, 2018","$1,650,000","$1,615,000",Single Family Residential,2007,6357,5,6,Heritage Estates,Heritage Estates,"$9,122",Douglas RE-1,4,4,"Full, Finished, Interior Entry, Heated",$675,Conventional
3990,4321 E 18th Avenue,"Denver, CO 80220","Aug 16, 2018","$1,675,000","$1,615,000",Single Family Residential,2013,6047,6,6,Park Hill,Park Hill,"$6,841",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Conventional
3991,5740 E Ida Circle,"Greenwood Village, CO 80111","Jul 20, 2018","$1,650,000","$1,615,000",Single Family Residential,1989,5710,5,5,Greenwood Hills,Greenwood Hills,"$5,946",Cherry Creek 5,4,4,"Daylight, Finished, Partial",,Conventional
3992,8649 Portico Lane,"Longmont, CO 80503","Aug 31, 2018","$1,675,000","$1,614,000",Single Family Residential,2005,6606,6,8,Portico,Portico,,St. Vrain Valley RE-1J,4,4,"Full, Walk-Out Access","$1,600","Cash, Conventional"
3993,2420 Summerlin Court,"Longmont, CO 80503","Oct 10, 2020","$1,614,000","$1,614,000",Single Family Residential,2020,5142,4,4,Somerset Meadows,Somerset Meadows,"$2,879",St. Vrain Valley RE-1J,3,3,,$84,
3994,8649 Portico Lane,"Longmont, CO 80503","Aug 31, 2018","$1,675,000","$1,614,000",Single Family Residential,2005,6585,6,6,Portico,Portico,"$9,749",St. Vrain Valley RE-1J,4,4,"Exterior Entry, Full, Finished, Walk-Out Access","$1,600",Conventional
3995,885 Douglas Street,"Steamboat Springs, CO 80487","Sep 12, 2019","$1,680,000","$1,612,500",Single Family Residential,1997,4111,5,4,Yahmonite Add Ss,Yahmonite Add Ss,"$3,671",Steamboat Springs RE-2,3,3,"Finished, None, Walk-Out Access",,Conventional
3996,120 Byers Valley Road Unit Lot 68,"Silverthorne, CO 80498","Jan 14, 2021","$1,575,000","$1,612,156",Single Family Residential,2019,3040,4,5,Silverthorne,Silverthorne,,Summit RE-1,2,2,None,$349,Cash
3997,8818 Portico Lane,"Longmont, CO 80503","Aug 20, 2019","$1,648,000","$1,612,000",Single Family Residential,2019,5236,4,5,Portico,Portico,"$5,391",St. Vrain Valley RE-1J,3,3,,"$1,800","Cash, Conventional"
3998,8818 Portico Lane,"Longmont, CO 80503","Aug 20, 2019","$1,648,000","$1,612,000",Single Family Residential,2019,5236,4,5,Longmont,Longmont,"$5,074",St. Vrain Valley RE-1J,3,3,"Finished, Interior Entry, Partial, Heated","$1,600",Conventional
3999,561 Steele Street,"Denver, CO 80206","Oct 12, 2020","$1,695,000","$1,611,686",Single Family Residential,2006,4213,4,5,Cherry Creek North,Cherry Creek North,"$8,728",Denver 1,2,2,"Full, Sump Pump",,Conventional
4000,63 Indigo Way,"Castle Rock, CO 80108","Apr 01, 2021","$1,625,000","$1,610,000",Single Family Residential,1983,6754,4,6,Castle Pines Village,Castle Pines Village,"$14,115",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$300,Conventional
4001,16284 Sandstone Drive,"Morrison, CO 80465","Nov 05, 2020","$1,595,000","$1,610,000",Single Family Residential,1998,4902,4,5,Sundance,Sundance,"$7,877",Jefferson County R-1,3,3,"Full, Finished, Walk-Out Access, Sump Pump",$300,Conventional
